                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                 1.3609,                 2.5312,                 1.4242,                 1.3892,                0.62565,                0.52528,                0.48611,                0.24505,                 0.3057,                0.54087,                0.39246,                0.18665,                 1.9331,                  4.522,                 2.4019,                 2.1101,              0.0014456,              0.0014456,              0.0014456
                     87,                 1.4203,                 2.6176,                 1.4099,                  1.414,                0.62565,                0.52528,                0.48611,                0.24505,                 0.3057,                0.54087,                0.39246,                0.18665,                 1.9331,                  4.522,                 2.4019,                 2.1101,               0.001439,               0.001439,               0.001439
                     88,                 1.4802,                 2.7339,                 1.4648,                 1.4738,                 0.5928,                0.56701,                0.50821,                0.23882,                0.53628,                0.50326,                0.39899,                0.18708,                 1.9075,                 4.3354,                 2.5315,                 2.0997,              0.0014324,              0.0014324,              0.0014324
                     89,                 1.4503,                 2.7323,                 1.5054,                 1.4524,                0.59544,                0.52356,                0.50883,                0.22892,                0.56316,                0.48353,                0.43143,                0.16941,                 1.9346,                 4.3763,                 2.4011,                  2.122,              0.0014258,              0.0014258,              0.0014258
                     90,                 1.5033,                 2.7965,                 1.5313,                 1.4748,                0.65287,                0.56365,                0.54429,                0.22891,                 0.5914,                0.49817,                0.44622,                0.16957,                 1.9319,                 4.3479,                 2.2437,                  2.101,              0.0014192,              0.0014192,              0.0014192
                     91,                 1.4438,                 2.6113,                 1.4798,                 1.4381,                0.65287,                0.56365,                0.54429,                0.22891,                 0.5914,                0.49817,                0.44622,                0.16957,                 1.9319,                 4.3479,                 2.2437,                  2.101,              0.0014126,              0.0014126,              0.0014126
                     92,                 1.5329,                 2.8591,                 1.4123,                 1.4093,                0.50777,                0.65284,                0.60114,                0.23463,                0.47605,                0.58738,                 0.4991,                 0.1861,                 1.9654,                 4.2108,                 2.0964,                 2.0979,               0.001406,               0.001406,               0.001406
                     93,                 1.3855,                 2.5986,                 1.5346,                 1.4477,                0.64165,                0.44646,                0.55591,                0.26023,                 0.6329,                0.44247,                0.49496,                0.19911,                 1.9504,                 4.0539,                 2.0358,                 2.0724,              0.0013994,              0.0013994,              0.0013994
                     94,                 1.5298,                 2.8666,                 1.7203,                 1.5768,                0.69995,                0.40179,                0.54681,                0.24218,                0.70802,                0.40948,                0.47349,                0.19086,                 1.9276,                 3.9838,                 1.9928,                 2.0166,              0.0013928,              0.0013928,              0.0013928
                     95,                 1.5204,                 2.8551,                 1.5761,                 1.5391,                0.69995,                0.40179,                0.54681,                0.24218,                0.70802,                0.40948,                0.47349,                0.19086,                 1.9276,                 3.9838,                 1.9928,                 2.0166,              0.0013862,              0.0013862,              0.0013862
                     96,                 1.5648,                  2.918,                 1.5475,                 1.5433,                0.59998,                0.44584,                0.48249,                0.20455,                0.60004,                0.39951,                0.44632,                0.17886,                 1.9441,                 3.9292,                  2.086,                 2.0401,              0.0013796,              0.0013796,              0.0013796
                     97,                 1.4658,                 2.8288,                 1.4002,                 1.4578,                 0.5034,                 0.4871,                 0.4872,                0.21457,                0.83338,                0.34552,                 0.4297,                0.17243,                 1.9253,                 3.8249,                 2.1973,                 2.0143,               0.001373,               0.001373,               0.001373
                     98,                 1.4848,                 2.7921,                 1.4884,                 1.5205,                0.82467,                0.35979,                0.46392,                0.19869,                0.82467,                0.35979,                 0.4131,                  0.176,                 1.9374,                 3.7775,                 2.3105,                  2.039,              0.0013664,              0.0013664,              0.0013664
                     99,                 1.5307,                 2.9632,                 1.5298,                 1.5516,                0.82467,                0.35979,                0.46392,                0.19869,                0.82467,                0.35979,                 0.4131,                  0.176,                 1.9374,                 3.7775,                 2.3105,                  2.039,              0.0013598,              0.0013598,              0.0013598
                    100,                 1.4729,                 2.7604,                  1.367,                 1.4613,                0.70791,                 0.4081,                0.36695,                0.16158,                0.71012,                0.41679,                0.34137,                0.14051,                 1.9848,                 3.7703,                 2.4932,                 2.0962,              0.0013532,              0.0013532,              0.0013532
                    101,                 1.3782,                 2.4752,                 1.3943,                 1.4535,                0.66735,                 0.2537,                0.33052,                0.14327,                0.66735,                 0.2537,                0.30225,                 0.1292,                   1.98,                 3.7661,                 2.5215,                  2.108,              0.0013466,              0.0013466,              0.0013466
